propnum,day,oil,gas,water
f899139df5e1059396431415e770c6dd,2020-02-25,0,2211.0255891765273,0
f899139df5e1059396431415e770c6dd,2020-02-26,0,2211.0255858370747,0
f899139df5e1059396431415e770c6dd,2020-02-27,0,2211.0255817670527,0
f899139df5e1059396431415e770c6dd,2020-02-28,0,2211.025576863989,0
f899139df5e1059396431415e770c6dd,2020-02-29,0,2211.025571018132,0
f899139df5e1059396431415e770c6dd,2020-03-01,0,2211.025564112378,0
f899139df5e1059396431415e770c6dd,2020-03-02,0,2211.025556022207,0
f899139df5e1059396431415e770c6dd,2020-03-03,0,2211.0255466156204,0
f899139df5e1059396431415e770c6dd,2020-03-04,0,2211.025535753075,0
f899139df5e1059396431415e770c6dd,2020-03-05,0,2211.0255232874297,0
f899139df5e1059396431415e770c6dd,2020-03-06,0,2211.0255090638857,0
f899139df5e1059396431415e770c6dd,2020-03-07,0,2211.0254929199323,0
f899139df5e1059396431415e770c6dd,2020-03-08,0,2211.025474685295,0
f899139df5e1059396431415e770c6dd,2020-03-09,0,2211.025454181886,0
f899139df5e1059396431415e770c6dd,2020-03-10,0,2211.0254312237503,0
f899139df5e1059396431415e770c6dd,2020-03-11,0,2211.025405617022,0
f899139df5e1059396431415e770c6dd,2020-03-12,0,2211.0253771598773,0
f899139df5e1059396431415e770c6dd,2020-03-13,0,2211.025345642488,0
f899139df5e1059396431415e770c6dd,2020-03-14,0,2211.0253108469788,0
f899139df5e1059396431415e770c6dd,2020-03-15,0,2211.0252725473833,0
f899139df5e1059396431415e770c6dd,2020-03-16,0,2211.025230509604,0
f899139df5e1059396431415e770c6dd,2020-03-17,0,2211.0251844913714,0
f899139df5e1059396431415e770c6dd,2020-03-18,0,2211.025134242203,0
f899139df5e1059396431415e770c6dd,2020-03-19,0,2211.0250795033658,0
f899139df5e1059396431415e770c6dd,2020-03-20,0,2211.025020007839,0
f899139df5e1059396431415e770c6dd,2020-03-21,0,2211.024955480276,0
f899139df5e1059396431415e770c6dd,2020-03-22,0,2211.0248856369694,0
f899139df5e1059396431415e770c6dd,2020-03-23,0,2211.0248101858137,0
f899139df5e1059396431415e770c6dd,2020-03-24,0,2211.024728826274,0
f899139df5e1059396431415e770c6dd,2020-03-25,0,2211.024641249348,0
f899139df5e1059396431415e770c6dd,2020-03-26,0,2211.024547137537,0
f899139df5e1059396431415e770c6dd,2020-03-27,0,2211.024446164809,0
f899139df5e1059396431415e770c6dd,2020-03-28,0,2211.02433799657,0
f899139df5e1059396431415e770c6dd,2020-03-29,0,2211.0242222896313,0
f899139df5e1059396431415e770c6dd,2020-03-30,0,2211.024098692179,0
f899139df5e1059396431415e770c6dd,2020-03-31,0,2211.023966843743,0
f899139df5e1059396431415e770c6dd,2020-04-01,0,2211.0238263751685,0
f899139df5e1059396431415e770c6dd,2020-04-02,0,2211.023676908585,0
f899139df5e1059396431415e770c6dd,2020-04-03,0,2211.023518057378,0
f899139df5e1059396431415e770c6dd,2020-04-04,0,2211.0233494261643,0
f899139df5e1059396431415e770c6dd,2020-04-05,0,2211.023170610757,0
f899139df5e1059396431415e770c6dd,2020-04-06,0,2211.022981198145,0
f899139df5e1059396431415e770c6dd,2020-04-07,0,2211.0227807664614,0
f899139df5e1059396431415e770c6dd,2020-04-08,0,2211.022568884959,0
f899139df5e1059396431415e770c6dd,2020-04-09,0,2211.0223451139855,0
f899139df5e1059396431415e770c6dd,2020-04-10,0,2211.0221090049527,0
f899139df5e1059396431415e770c6dd,2020-04-11,0,2211.021860100317,0
f899139df5e1059396431415e770c6dd,2020-04-12,0,2211.0215979335508,0
f899139df5e1059396431415e770c6dd,2020-04-13,0,2211.021322029118,0
f899139df5e1059396431415e770c6dd,2020-04-14,0,2211.0210319024513,0
f899139df5e1059396431415e770c6dd,2020-04-15,0,2211.020727059926,0
f899139df5e1059396431415e770c6dd,2020-04-16,0,2211.020406998837,0
f899139df5e1059396431415e770c6dd,2020-04-17,0,2211.020071207379,0
f899139df5e1059396431415e770c6dd,2020-04-18,0,2211.019719164615,0
f899139df5e1059396431415e770c6dd,2020-04-19,0,2211.0193503404626,0
f899139df5e1059396431415e770c6dd,2020-04-20,0,2211.0189641956663,0
f899139df5e1059396431415e770c6dd,2020-04-21,0,2211.018560181776,0
f899139df5e1059396431415e770c6dd,2020-04-22,0,2211.0181377411254,0
f899139df5e1059396431415e770c6dd,2020-04-23,0,2211.0176963068116,0
f899139df5e1059396431415e770c6dd,2020-04-24,0,2211.0172353026705,0
f899139df5e1059396431415e770c6dd,2020-04-25,0,2211.0167541432584,0
f899139df5e1059396431415e770c6dd,2020-04-26,0,2211.0162522338305,0
f899139df5e1059396431415e770c6dd,2020-04-27,0,2211.0157289703197,0
f899139df5e1059396431415e770c6dd,2020-04-28,0,2211.0151837393155,0
f899139df5e1059396431415e770c6dd,2020-04-29,0,2211.014615918045,0
f899139df5e1059396431415e770c6dd,2020-04-30,0,2211.014024874353,0
f899139df5e1059396431415e770c6dd,2020-05-01,0,2211.0134099666802,0
f899139df5e1059396431415e770c6dd,2020-05-02,0,2211.012770544047,0
f899139df5e1059396431415e770c6dd,2020-05-03,0,2211.0121059460303,0
f899139df5e1059396431415e770c6dd,2020-05-04,0,2211.011415502747,0
f899139df5e1059396431415e770c6dd,2020-05-05,0,2211.010698534834,0
f899139df5e1059396431415e770c6dd,2020-05-06,0,2211.0099543534297,0
f899139df5e1059396431415e770c6dd,2020-05-07,0,2211.0091822601566,0
f899139df5e1059396431415e770c6dd,2020-05-08,0,2211.0083815471,0
